Timestamp,What is your age?,What is your gender?,What is your occupation?,How often do you exercise?,Where do you usually exercise?,What type of activities do you prefer? (Select all that apply),Have you heard about 1Fit?,Have you ever used 1Fit?,What factors are most important when choosing a fitness place? (Select all that applied),Do you prefer:,How important is variety of workouts for you?,Do you get bored going to the same gym regularly?,Do you enjoy trying new types of workouts?,How important is flexibility (choosing time and place freely)?,Would you like access to multiple gyms with one subscription?,What problems would discourage you from using services like 1Fit? (Select all that apply),"How do you feel about time restrictions (e.g., access only at certain hours)?",How often do you face problems booking classes?,How important is clear communication about service changes?,How do you feel when service rules change without prior notice?,Have you ever felt treated differently at a gym because you were using 1Fit?,"If yes, how did it affect your experience?",How do you evaluate the price of 1Fit?,Would you recommend a service like 1Fit to others?,Would you renew your membership? Are you going to purchase a membership?
08/04/2026 22:43:35,18-22,Male,Student,Daily,Outdoor,"Team sports, Individual sports (boxing, swimming etc.)",Yes,"No, never used","Price, Location, Equipment quality, Variety of classes",Access to multiple gyms,Neutral,No,Yes,Very important,Yes,"Limited time slots, Fully booked classes, Restrictions between bookings",Neutral,Never,Very important,Slightly frustrated,,,Reasonable,Yes,Yes
08/04/2026 22:52:15,18-22,Male,Student,Daily,Gym,"Individual sports (boxing, swimming etc.)",Yes,"Yes, currently using",Price,One regular gym,Very important,Sometimes,Yes,Important,No,High price,Negative,Rarely,Neutral,Very frustrated,No,No effect,Expensive,Maybe,No
08/04/2026 22:59:21,23-27,Male,Employed,3–5 times per week,Gym,Gym workout,Yes,"Yes, currently using",Location,One regular gym,Very important,Yes,Sometimes,Very important,Yes,Restrictions between bookings,Very negative,Very often,Very important,Neutral,Yes,No effect,Reasonable,Yes,Yes
08/04/2026 23:03:50,23-27,Male,Self-employed,3–5 times per week,Gym,Gym workout,Yes,"Yes, currently using",Equipment quality,Access to multiple gyms,Very important,Yes,Yes,Very important,Yes,"Limited time slots, Limited access to premium gyms",Negative,Very often,Very important,Slightly frustrated,No,No effect,Reasonable,Yes,Yes
08/04/2026 23:05:29,Under 18,Male,Student,3–5 times per week,Gym,Gym workout,Yes,"Yes, currently using",Location,One regular gym,Not important,No,Sometimes,Not important,No,Limited time slots,Very negative,Very often,Very important,Very frustrated,Yes,Very negatively,Expensive,Maybe,Yes
08/04/2026 23:06:45,18-22,Male,Employed,3–5 times per week,Gym,Gym workout,Yes,"Yes, currently using",Trainer quality,One regular gym,Very important,No,Yes,Very important,Yes,Restrictions between bookings,Neutral,Rarely,Important,Slightly frustrated,Yes,Slightly negatively,Reasonable,Maybe,Yes
08/04/2026 23:08:13,Under 18,Male,Student,Daily,Gym,"Gym workout, Individual sports (boxing, swimming etc.)",Yes,"Yes, currently using","Location, Variety of classes",One regular gym,Neutral,No,Sometimes,Important,Yes,High price,Neutral,Never,Important,Very frustrated,No,No effect,Reasonable,Yes,No
09/04/2026 16:31:27,Under 18,Male,Student,3–5 times per week,Gym,"Gym workout, Individual sports (boxing, swimming etc.)",Yes,"Yes, currently using","Location, Cleanliness, Equipment quality",Access to multiple gyms,Important,Yes,Sometimes,Very important,Yes,Limited time slots,Negative,Sometimes,Important,Very frustrated,No,Very negatively,Expensive,Maybe,Yes
09/04/2026 16:33:09,23-27,Female,Student,3–5 times per week,Fitness studio,"Gym workout, Yoga/Pilates",Yes,"Yes, currently using","Location, Trainer quality, Cleanliness, Equipment quality",Access to multiple gyms,Very important,No,Yes,Very important,Yes,"Limited time slots, Restrictions between bookings, Limited access to premium gyms",Very negative,Never,Important,Slightly frustrated,No,No effect,Reasonable,Yes,Yes
09/04/2026 16:35:23,35+,Male,Self-employed,1–2 times per week,Outdoor,"Individual sports (boxing, swimming etc.)",Yes,"Yes, currently using","Location, Cleanliness",Access to multiple gyms,Very important,Sometimes,Sometimes,Important,Yes,Limited time slots,Neutral,Rarely,Very important,Very frustrated,Yes,Slightly negatively,Reasonable,Maybe,No
09/04/2026 20:30:40,18-22,Male,Student,3–5 times per week,Gym,Gym workout,Yes,"Yes, currently using","Price, Location, Equipment quality",Access to multiple gyms,Important,No,Sometimes,Very important,Yes,"Limited time slots, Fully booked classes, Restrictions between bookings",Negative,Sometimes,Important,Very frustrated,Yes,Very negatively,Expensive,Maybe,No
09/04/2026 20:33:02,18-22,Male,Student,1–2 times per week,Gym,Team sports,Yes,"Yes, currently using",Location,Access to multiple gyms,Neutral,Sometimes,Yes,Important,Yes,Limited access to premium gyms,Negative,Rarely,Important,Slightly frustrated,Yes,Slightly negatively,Expensive,No,No
09/04/2026 20:35:29,18-22,Female,Student,1–2 times per week,"Gym, Fitness studio","Yoga/Pilates, Individual sports (boxing, swimming etc.)",Yes,"Yes, currently using","Location, Cleanliness, Equipment quality, Variety of classes",Access to multiple gyms,Very important,Sometimes,Yes,Important,Yes,"Limited time slots, Restrictions between bookings, Limited access to premium gyms",Very negative,Rarely,Very important,Very frustrated,Yes,Slightly negatively,Reasonable,Yes,Yes
09/04/2026 20:37:10,18-22,Male,Employed,3–5 times per week,Gym,"Gym workout, Individual sports (boxing, swimming etc.)",Yes,"Yes, currently using","Price, Location, Cleanliness",One regular gym,Neutral,Sometimes,Yes,Important,Yes,"Restrictions between bookings, Limited access to premium gyms",Negative,Rarely,Very important,Slightly frustrated,No,No effect,Reasonable,Yes,Yes
09/04/2026 20:39:17,Under 18,Male,Student,3–5 times per week,Gym,Team sports,Yes,"Yes, used before",Equipment quality,One regular gym,Very important,No,Yes,Very important,Yes,Fully booked classes,Very negative,Sometimes,Very important,Very frustrated,No,No effect,Reasonable,Yes,No
09/04/2026 20:40:40,Under 18,Male,Student,3–5 times per week,Gym,"Gym workout, Individual sports (boxing, swimming etc.)",Yes,,Location,Access to multiple gyms,Neutral,Yes,Sometimes,Neutral,Maybe,Fully booked classes,Neutral,Very often,Neutral,Slightly frustrated,Yes,No effect,Very affordable,Yes,Yes
09/04/2026 20:42:48,18-22,Male,Student,Daily,Gym,"Individual sports (boxing, swimming etc.)",Yes,"No, never used","Price, Location",Access to multiple gyms,Neutral,Sometimes,Yes,Very important,Yes,"Restrictions between bookings, High price",Negative,Sometimes,Important,Slightly frustrated,,,Reasonable,Yes,Yes
09/04/2026 20:44:16,18-22,Male,Student,3–5 times per week,Gym,Gym workout,Yes,"No, never used",Equipment quality,One regular gym,Important,Sometimes,Sometimes,Neutral,Yes,Restrictions between bookings,Neutral,Never,Important,Slightly frustrated,,,Reasonable,Maybe,Yes
09/04/2026 20:45:59,18-22,Male,Student,3–5 times per week,Gym,Gym workout,Yes,"Yes, currently using","Price, Equipment quality",One regular gym,Neutral,Sometimes,Yes,Very important,Yes,"Limited time slots, Fully booked classes, Restrictions between bookings",Negative,Sometimes,Important,Slightly frustrated,No,No effect,Reasonable,Yes,Yes
09/04/2026 20:47:40,18-22,Male,Self-employed,3–5 times per week,Fitness studio,"Gym workout, Individual sports (boxing, swimming etc.)",Yes,"Yes, currently using",Location,Access to multiple gyms,Important,No,Yes,Very important,Yes,"Limited time slots, Fully booked classes, Restrictions between bookings, Limited access to premium gyms, High price",Very negative,Sometimes,Important,Neutral,No,No effect,Expensive,Maybe,Yes
09/04/2026 20:49:11,18-22,Male,Student,3–5 times per week,Gym,Gym workout,Yes,"Yes, currently using","Price, Equipment quality",One regular gym,Neutral,No,Yes,Neutral,Yes,Limited time slots,Neutral,Rarely,Neutral,Very frustrated,No,Slightly negatively,Reasonable,Yes,Yes
09/04/2026 20:51:56,18-22,Male,Student,3–5 times per week,Gym,Gym workout,Yes,"No, never used","Price, Location, Equipment quality",One regular gym,Neutral,No,Sometimes,Very important,Yes,"Limited time slots, Restrictions between bookings, High price",Negative,Sometimes,Important,Very frustrated,Not sure,No effect,Expensive,Maybe,No
09/04/2026 20:54:21,18-22,Male,Student,1–2 times per week,Gym,Gym workout,Yes,"No, never used","Price, Location, Cleanliness",One regular gym,Important,Sometimes,Yes,Important,Maybe,High price,Negative,Never,Very important,Neutral,No,No effect,Expensive,Maybe,Yes
09/04/2026 20:56:49,18-22,Male,Student,3–5 times per week,Gym,Team sports,Yes,"Yes, currently using",Equipment quality,One regular gym,Important,No,Sometimes,Very important,Yes,Limited time slots,Negative,Sometimes,Neutral,Neutral,No,No effect,Reasonable,Yes,Yes
09/04/2026 20:59:29,18-22,Male,Student,3–5 times per week,Gym,Gym workout,Yes,"Yes, currently using","Price, Cleanliness, Equipment quality",One regular gym,Neutral,Sometimes,Yes,Very important,Yes,Limited time slots,Very negative,Rarely,Very important,Very frustrated,Yes,Slightly negatively,Very affordable,Maybe,Yes
09/04/2026 21:01:30,Under 18,Male,Student,1–2 times per week,Gym,Gym workout,Yes,"Yes, currently using",Equipment quality,One regular gym,Important,Sometimes,Yes,Important,Yes,Restrictions between bookings,Negative,Sometimes,Very important,Very frustrated,No,,Very affordable,Yes,Yes
09/04/2026 21:03:29,18-22,Male,Student,Rarely,Gym,"Gym workout, Individual sports (boxing, swimming etc.)",Yes,"Yes, currently using","Price, Cleanliness, Variety of classes",Access to multiple gyms,Important,No,Sometimes,Important,Maybe,Limited time slots,Very negative,Rarely,Very important,Very frustrated,No,,Reasonable,Maybe,Yes
09/04/2026 21:05:57,18-22,Male,Employed,1–2 times per week,Fitness studio,Gym workout,Yes,"No, never used","Price, Cleanliness, Equipment quality",One regular gym,Neutral,Sometimes,No,Important,Maybe,High price,Neutral,Never,Important,Very frustrated,No,,Expensive,Maybe,Yes
09/04/2026 21:09:28,18-22,Male,Employed,3–5 times per week,"Gym, Home",Gym workout,Yes,"Yes, currently using","Price, Location, Cleanliness, Equipment quality, Variety of classes",Access to multiple gyms,Very important,No,Yes,Important,Yes,"Limited time slots, Fully booked classes",Neutral,Sometimes,Important,Neutral,No,No effect,Reasonable,Yes,Yes
09/04/2026 21:11:45,18-22,Male,Student,1–2 times per week,Gym,Gym workout,Yes,"Yes, currently using","Price, Location, Equipment quality",Access to multiple gyms,Important,Sometimes,Sometimes,Neutral,Maybe,"Limited time slots, Restrictions between bookings",Neutral,Rarely,Very important,Very frustrated,No,,Reasonable,Maybe,Yes
09/04/2026 21:13:58,18-22,Male,Employed,3–5 times per week,Gym,Gym workout,Yes,"Yes, used before","Price, Equipment quality",Access to multiple gyms,Important,Sometimes,Sometimes,Neutral,Maybe,Limited time slots,Neutral,Sometimes,Important,Neutral,No,No effect,Reasonable,Maybe,No
09/04/2026 22:24:05,Under 18,Male,Student,3–5 times per week,Gym,"Individual sports (boxing, swimming etc.)",Yes,"No, never used","Price, Location, Trainer quality, Cleanliness, Equipment quality, Variety of classes",One regular gym,Important,Sometimes,Yes,Very important,Yes,Fully booked classes,Negative,Sometimes,Important,Very frustrated,,,Reasonable,Maybe,Yes
09/04/2026 22:25:45,18-22,Male,Student,3–5 times per week,Gym,"Gym workout, Individual sports (boxing, swimming etc.)",Yes,"Yes, used before",Variety of classes,Access to multiple gyms,Important,Sometimes,Yes,Important,Yes,Limited time slots,Negative,Rarely,Neutral,Very frustrated,No,No effect,Expensive,Yes,Yes
09/04/2026 22:27:12,18-22,Male,Student,3–5 times per week,Gym,"Gym workout, Team sports",Yes,"Yes, currently using",Equipment quality,Access to multiple gyms,Neutral,Sometimes,Yes,Very important,Yes,Restrictions between bookings,Negative,Rarely,Important,Very frustrated,Yes,No effect,Reasonable,Yes,Yes
09/04/2026 22:27:26,28-35,Male,Self-employed,3–5 times per week,Gym,Gym workout,Yes,"Yes, used before","Location, Trainer quality, Cleanliness, Equipment quality, Variety of classes",Access to multiple gyms,Very important,Sometimes,Sometimes,Important,Yes,"Restrictions between bookings, Limited access to premium gyms",Negative,Sometimes,Important,Slightly frustrated,Not sure,No effect,Reasonable,Yes,No
09/04/2026 22:28:54,35+,Female,Other,1–2 times per week,Outdoor,"Individual sports (boxing, swimming etc.)",Yes,"No, never used","Price, Location",One regular gym,Neutral,No,Sometimes,Important,Maybe,High price,Neutral,Never,Not important,Very frustrated,,,Very expensive,No,No
09/04/2026 22:30:24,18-22,Female,Student,Daily,Fitness studio,Team sports,Yes,"Yes, currently using",Variety of classes,Access to multiple gyms,Important,Sometimes,Yes,Very important,Yes,"Limited access to premium gyms, Complicated app usage",Neutral,Sometimes,Very important,Slightly frustrated,Not sure,No effect,Very affordable,Yes,Yes
09/04/2026 22:30:35,23-27,Male,Employed,3–5 times per week,"Gym, Outdoor",Gym workout,Yes,"Yes, currently using","Price, Location, Cleanliness, Equipment quality",Access to multiple gyms,Neutral,Sometimes,Yes,Very important,Yes,"Limited time slots, High price",Negative,Very often,Important,Slightly frustrated,No,Slightly negatively,Reasonable,Yes,Yes
09/04/2026 22:31:51,18-22,Female,Student,3–5 times per week,Fitness studio,Yoga/Pilates,Yes,"Yes, currently using",Trainer quality,Access to multiple gyms,Very important,Yes,Sometimes,Important,Yes,Limited access to premium gyms,Neutral,Rarely,Very important,Neutral,Yes,Slightly negatively,Reasonable,Yes,Yes
09/04/2026 22:33:44,18-22,Female,Student,3–5 times per week,Gym,Gym workout,Yes,"Yes, currently using",Cleanliness,One regular gym,Very important,Sometimes,Yes,Important,Yes,Restrictions between bookings,Negative,Sometimes,Neutral,Very frustrated,Yes,Very negatively,Reasonable,No,No
09/04/2026 22:41:57,Under 18,Male,Student,3–5 times per week,Gym,"Gym workout, Team sports",Yes,"Yes, currently using",Location,One regular gym,Neutral,Sometimes,Yes,Very important,Yes,Limited access to premium gyms,Neutral,Sometimes,Neutral,Not concerned,Yes,No effect,Very affordable,Yes,Yes
09/04/2026 22:43:38,28-35,Male,Employed,Daily,Gym,"Individual sports (boxing, swimming etc.)",Yes,"Yes, currently using",Location,One regular gym,Very important,Yes,Yes,Very important,Yes,Fully booked classes,Neutral,Very often,Very important,Neutral,Yes,No effect,Very affordable,Yes,Yes
09/04/2026 22:46:39,18-22,Male,Student,3–5 times per week,Gym,Gym workout,Yes,"Yes, currently using","Price, Location, Cleanliness, Equipment quality",Access to multiple gyms,Important,Yes,Sometimes,Important,Yes,Limited time slots,Negative,Rarely,Important,Very frustrated,No,No effect,Expensive,Maybe,No
09/04/2026 22:49:29,18-22,Male,Student,1–2 times per week,Gym,Gym workout,Yes,"Yes, currently using","Location, Cleanliness, Equipment quality",Access to multiple gyms,Neutral,No,Sometimes,Neutral,Yes,"Fully booked classes, Limited access to premium gyms",Negative,Sometimes,Important,Very frustrated,No,Slightly negatively,Reasonable,Yes,Yes
09/04/2026 22:52:23,18-22,Male,Student,3–5 times per week,Gym,"Individual sports (boxing, swimming etc.)",Yes,"Yes, currently using",Location,Access to multiple gyms,Very important,Yes,Yes,Very important,Yes,Limited access to premium gyms,Neutral,Sometimes,Very important,Very frustrated,No,No effect,Reasonable,No,No
09/04/2026 22:55:52,18-22,Male,Self-employed,Daily,Gym,"Gym workout, Individual sports (boxing, swimming etc.)",Yes,"Yes, currently using",Equipment quality,Access to multiple gyms,Neutral,No,Sometimes,Very important,Yes,Limited time slots,Positive,Never,Important,Slightly frustrated,Yes,No effect,Very affordable,Maybe,Yes
09/04/2026 23:00:31,18-22,Male,Student,3–5 times per week,Gym,"Gym workout, Team sports",Yes,"Yes, currently using","Price, Location, Cleanliness",Access to multiple gyms,Important,Sometimes,Yes,Very important,Yes,"Restrictions between bookings, High price",Neutral,Never,Important,Slightly frustrated,No,No effect,Reasonable,Yes,No
09/04/2026 23:02:40,28-35,Male,Employed,3–5 times per week,Gym,Gym workout,Yes,"Yes, currently using","Location, Cleanliness",Access to multiple gyms,Important,No,Yes,Very important,Yes,Limited access to premium gyms,Negative,Rarely,Very important,Slightly frustrated,No,No effect,Very affordable,Yes,Yes
09/04/2026 23:04:44,23-27,Male,Employed,3–5 times per week,Gym,Gym workout,Yes,"Yes, currently using","Location, Cleanliness, Equipment quality",Access to multiple gyms,Important,No,Yes,Very important,Yes,"Fully booked classes, Limited access to premium gyms",Neutral,Rarely,Important,Not concerned,No,No effect,Reasonable,Yes,Yes
09/04/2026 23:07:09,23-27,Male,Employed,3–5 times per week,Gym,"Individual sports (boxing, swimming etc.)",Yes,"Yes, currently using","Price, Location, Cleanliness, Equipment quality",One regular gym,Not important,No,Yes,Very important,Yes,"Limited time slots, Restrictions between bookings",Neutral,Sometimes,Important,Slightly frustrated,Yes,No effect,Reasonable,Yes,No
09/04/2026 23:16:52,23-27,Male,"Student, Employed",Daily,"Gym, Fitness studio, Home, Outdoor","Gym workout, Team sports, Individual sports (boxing, swimming etc.)",Yes,"Yes, currently using","Price, Location, Cleanliness, Equipment quality, Variety of classes",Access to multiple gyms,Important,Sometimes,Yes,Very important,Yes,Limited time slots,Negative,Rarely,Important,Not concerned,No,,Reasonable,Yes,Yes
09/04/2026 23:18:31,18-22,Male,Student,3–5 times per week,Gym,Gym workout,Yes,"Yes, currently using","Location, Cleanliness, Equipment quality",Access to multiple gyms,Very important,Sometimes,Yes,Important,Yes,"Fully booked classes, Limited access to premium gyms",Positive,Rarely,Very important,Very frustrated,Not sure,No effect,Reasonable,Yes,Yes
09/04/2026 23:20:42,18-22,Female,Student,3–5 times per week,Fitness studio,Team sports,Yes,"Yes, currently using",Trainer quality,Access to multiple gyms,Very important,Sometimes,Yes,Important,Yes,"Limited time slots, High price",Negative,Rarely,Very important,Very frustrated,Not sure,Slightly negatively,Reasonable,Yes,Yes
09/04/2026 23:22:42,18-22,Male,Student,1–2 times per week,Gym,"Gym workout, Team sports",Yes,"Yes, currently using",Location,One regular gym,Very important,Yes,Yes,Very important,Yes,Limited time slots,Very negative,Very often,Very important,Very frustrated,Yes,Slightly negatively,Expensive,Yes,Yes
09/04/2026 23:24:48,18-22,Male,"Student, Employed",3–5 times per week,"Fitness studio, Outdoor","Gym workout, Individual sports (boxing, swimming etc.)",Yes,"Yes, currently using","Location, Equipment quality, Variety of classes",Access to multiple gyms,Very important,Yes,Yes,Very important,Yes,"Restrictions between bookings, High price",Negative,Rarely,Very important,Very frustrated,Yes,No effect,Reasonable,Yes,
09/04/2026 23:26:49,18-22,Female,Employed,1–2 times per week,Gym,Gym workout,Yes,"Yes, currently using",Location,One regular gym,Neutral,Sometimes,Yes,Very important,Yes,"Limited time slots, Restrictions between bookings",Negative,Sometimes,Very important,Slightly frustrated,No,Positively,Reasonable,Yes,Yes
09/04/2026 23:30:50,18-22,Male,Student,Daily,"Gym, Outdoor","Individual sports (boxing, swimming etc.)",Yes,"Yes, currently using","Location, Cleanliness",Access to multiple gyms,Important,Sometimes,Yes,Important,Yes,"Limited time slots, Limited access to premium gyms",Very negative,Sometimes,Very important,Very frustrated,No,,Reasonable,Maybe,Yes
10/04/2026 00:59:29,18-22,Male,Student,3–5 times per week,Gym,"Gym workout, Team sports, Individual sports (boxing, swimming etc.)",Yes,"Yes, currently using","Location, Cleanliness",One regular gym,Important,No,Yes,Important,Yes,Fully booked classes,Negative,Rarely,Neutral,Slightly frustrated,No,No effect,Reasonable,Yes,Yes
